icd,kw
B43.9,"bệnh nhiễm nấm sâu chromomycois ( nấm hạt màu ) , không xác định"
B44,bệnh nhiễm nấm aspergillus
B44.0,bệnh nhiễm nấm aspergillus ở phổi xâm lấn
B44.1,bệnh nhiễm nấm aspergillus ở phổi khác
B44.2,bệnh nhiễm nấm aspergillus ở amiđan
C10.1,u ác của mặt trước của nắp thanh môn
C10.2,u ác của thành bên họng miệng
C09.1,u ác của trụ amiđan ( trước ) ( sau )
C03.9,"u ác của lợi , không đặc hiệu"
C04,u ác của sàn miệng
C04.0,u ác của sàn trước miệng
C09.8,u ác với tổn thương chồng lấn của amiđan
C10.3,u ác của thành sau họng miệng
C10,u ác của hầu miệng
C10.0,u ác của nắp thanh quản
C09.9,u ác của amiđan không đặc hiệu
C09.0,u ác của hố amiđan
C10.4,"u ác của hầu miệng , khe mang"
C10.8,u ác với tổn thương chồng lấn của họng miệng
C43.3,u hắc tố ác của phần khác và không xác định của mặt
C43.4,u hắc tố ác tính của đầu và cổ
C26.8,u ác với tổn thương chồng lấn của hệ tiêu hóa
C26.9,u ác ở vị trí không rõ ràng trong hệ tiêu hóa
C43.1,"u hắc tố ác của mi mắt , bao gồm khóe mắt"
C43.2,u hắc tố ác của tai và ống tai ngoài
C43.8,u hắc tố ác tính lan rộng của da
C43.9,"u hắc tố ác của da , không đặc hiệu"
C44,u ác khác của da
C43.7,"u hắc tố ác của chi dưới , bao gồm cả hông"
C41.1,u ác của xương hàm dưới
C41.2,u ác của cột sống
C41.0,u ác của xương sọ và xương mặt
C43.5,u hắc tố ác của thân mình
C43.6,"u hắc tố ác của chi trên , bao gồm vai"
C41.3,"u ác của xương sườn , xương ức và xương đòn"
C41.4,"u ác của xương chậu , xương cùng và xương cụt"
C41.8,u ác với tổn thương chồng lấn của xương và sụn khớp
C41.9,u ác của xương và sụn khớp không đặc hiệu
C43,u hắc tố ác của da
C43.0,u hắc tố ác của môi
C30,u ác của khoang mũi và tai giữa
C37,u ác tuyến ức
C38,"u ác của tim , trung thất và màng phổi"
C34.0,u ác của phế quản chính
C34.1,"u ác của thùy trên , phế quản hoặc phổi"
C32.2,u ác vùng dưới thanh môn
C32.3,u ác của sụn thanh quản
C34,u ác của phế quản và phổi
C34.8,u ác với tổn thương chồng lấn của phế quản và phổi
C34.9,"u ác của phế quản hoặc phổi , không đặc hiệu"
C32.8,u ác với tổn thương chồng lấn của thanh quản
C32.9,"u ác của thanh quản , không đặc hiệu"
C33,u ác khí quản
C34.2,"u ác của thùy giữa , phế quản hoặc phổi"
C34.3,"u ác của thùy dưới , phế quản hoặc phổi"
C32.0,u ác của thanh môn
C32.1,u ác vùng trên thanh môn
C31.9,"u ác của xoang phụ , không đặc hiệu"
C32,u ác thanh quản
C21.8,"u ác với tổn thương chồng lấn của đại tràng , hậu môn và ống hậu môn"
C22,u ác của gan và đường mật trong gan
C15.3,u ác của phần ba trên thực quản
C15.4,u ác của phần ba giữa thực quản
C30.1,u ác của tai giữa
C31,u ác của các xoang phụ
C31.0,u ác của xoang hàm
C13.8,u ác với tổn thương chồng lấn của hạ hầu
C13.9,u ác của hạ hầu không đặc hiệu
C14,"u ác vị trí khác và không rõ ràng của môi , khoang miệng và hầu"
C17.3,u ác của túi thừa meckel
C17.8,u ác với tổn thương chồng lấn của ruột non
C17.9,"u ác của ruột non , không đặc hiệu"
C18,u ác đại tràng
C14.0,"u ác của hầu , không đặc hiệu"
C14.2,u ác của vòng bạch huyết waldeyer
C14.8,"u ác với tổn thương chồng lấn của môi , khoang miệng và hầu họng"
C26.0,"u ác của đường ruột , phần không xác định"
C26.1,u ác ở lách
C31.1,u ác của xoang sàng
C31.2,u ác của xoang trán
C30.0,u ác của khoang mũi
C31.3,u ác của xoang bướm
C31.8,u ác với tổn thương chồng lấn của xoang phụ
B37.0,bệnh viêm miệng do nấm candida
B37.1,bệnh do nhiễm nấm candida ở phổi
B37.2,bệnh do nhiễm nấm candida ở da và móng
B37.3†,bệnh do nhiễm nấm candida ở âm hộ và âm đạo ( n77 . 1 * )
C04.8,u ác với tổn thương chồng lấn của sàn miệng
C04.9,"u ác của sàn miệng , không đặc hiệu"
C05,u ác của khẩu cái
C06.9,"u ác của miệng , không đặc hiệu"
C07,u ác tuyến mang tai
C08,u ác của các tuyến nước bọt chính khác và không xác định
C06.0,u ác của niêm mạc má
C06.1,u ác của tiền đình của miệng
C05.9,"u ác của khẩu cái , không đặc hiệu"
C06,u ác của phần khác và không xác định của miệng
C06.2,u ác vùng hậu hàm
C06.8,u ác với tổn thương chồng lấn của phần khác và không xác định của miệng
C08.0,u ác tính tuyến nước bọt dưới hàm
C08.1,u ác của tuyến nước bọt dưới lưỡi
C08.8,u ác với tổn thương chồng lấn của tuyến nước bọt chính
C05.1,u ác của khẩu cái mềm
C05.2,u ác của lưỡi gà
C05.8,u ác với tổn thương chồng lấn của khẩu cái
C04.1,u ác của sàn miệng bên
C05.0,u ác của khẩu cái cứng
C16.0,u ác của tâm vị
C16.1,u ác của đáy vị
C15.9,"u ác của thực quản , không đặc hiệu"
C16,u ác của dạ dày
C18.0,u ác của manh tràng
C18.1,u ác của ruột thừa
C18.8,u ác với tổn thương chồng lấn của đại tràng
C18.9,u ác của đại tràng không đặc hiệu
C19,u ác của đoạn nối trực tràng - đại tràng sigma
C16.2,u ác của thân vị
C16.3,u ác của hang môn vị
C13.1,"u ác của nếp sụn phễu - nắp thanh quản ( nếp phễu nắp ) , mặt hạ hầu"
C13.2,u ác của vách sau của hạ hầu
C18.5,u ác của đại tràng góc lách
C18.6,u ác của đại tràng xuống
C20,u ác trực tràng
C21,u ác của hậu môn và ống hậu môn
C18.7,u ác của đại tràng xích ma
C21.0,"u ác của hậu môn , không đặc hiệu"
C21.1,u ác của ống hậu môn
C21.2,u ác của vùng có nguồn gốc từ ổ nhớp
C10.9,"u ác của họng miệng , không đặc hiệu"
C11,u ác của hầu - mũi
C18.2,u ác của đại tràng lên
C18.3,u ác của đại tràng góc gan
C18.4,u ác của đại tràng ngang
C25.3,u ác của ống tụy
C25.4,u ác của tụy nội tiết
C25.7,u ác phần khác của tụy
C24.0,u ác của đường mật ngoài gan
C24.1,u ác của bóng vater
C24.8,u ác với tổn thương chồng lấn của đường mật
C22.0,ung thư biểu mô tế bào gan
C22.1,ung thư biểu mô đường mật trong gan
C22.2,u nguyên bào gan
C24.9,"u ác của đường mật , không đặc hiệu"
C25,u ác tụy
C25.0,u ác của đầu tụy
C25.1,u ác của thân tụy
C25.2,u ác của đuôi tụy
C25.8,u ác với tổn thương chồng lấn của tụy
C25.9,"u ác của tụy , không đặc hiệu"
C22.3,ung thư mô liên kết mạch máu của gan
C22.4,ung thư mô liên kết khác của gan
C22.7,ung thư biểu mô xác định khác của gan
C11.9,u ác của mũi hầu không đặc hiệu
C12,u ác của xoang lê
C13,u ác của hạ hầu
C11.3,u ác của vách trước của mũi hầu
C11.8,u ác với tổn thương chồng lấn của mũi hầu
C11.0,u ác của vách trên của mũi hầu
C13.0,u ác của vùng sau sụn nhẫn
C17,u ác ruột non
C17.0,u ác của tá tràng
C17.1,u ác của hỗng tràng
C17.2,u ác của hồi tràng
C16.6,"u ác của bờ cong lớn dạ dày , không đặc hiệu"
C16.8,u ác với tổn thương chồng lấn của dạ dày
C16.9,u ác của dạ dày không đặc hiệu
C15.5,u ác của phần ba dưới thực quản
C15.8,u ác với tổn thương chồng lấn của thực quản
C15,u ác thực quản
C15.0,u ác của thực quản phần cổ
C15.1,u ác của thực quản phần ngực
C15.2,u ác của thực quản phần bụng
C16.4,u ác của môn vị
C16.5,"u ác của bờ cong nhỏ dạ dày , không đặc hiệu"
C39,u ác ở những vị trí khác và không rõ ràng của hệ hô hấp và cơ quan trong lồng ngực
C47.2,"u ác của thần kinh ngoại biên của chi dưới , bao gồm hông"
C47.3,u ác của thần kinh ngoại biên của lồng ngực
B34.4,"nhiễm virus papova , vị trí không xác định"
B34.8,nhiễm virus khác ở vị trí không xác định
B34.9,"nhiễm virus , không xác định"
B35,bệnh nấm ở da
B35.0,bệnh nấm ở cằm và nấm da đầu ( chốc đầu )
B94.9,di chứng của bệnh nhiễm trùng và ký sinh trùng không xác định
B94.8,di chứng của bệnh nhiễm trùng và ký sinh trùng xác định khác
B94.0,di chứng của bệnh mắt hột
B94.1,di chứng của bệnh viêm não do virus
B94.2,di chứng của bệnh viêm gan virus
B99,các bệnh nhiễm trùng khác và không xác định
C00,u ác của môi
B96.6,bacillus fragilis ( b . fragilis ) là nguyên nhân gây bệnh phân loại ở chương khác
B96.7,clostridium perfringens ( c . perfringens ) là nguyên nhân gây bệnh phân loại ở chương khác
B96.8,vi khuẩn xác định khác gây bệnh phân loại ở chương khác
B97,tác nhân virus gây các bệnh phân loại ở chương khác
B97.0,adenovirus là nguyên nhân gây bệnh phân loại ở chương khác
B97.1,enterovirus là nguyên nhân gây bệnh phân loại ở chương khác
B97.2,coronavirus là nguyên nhân gây bệnh phân loại ở chương khác
B95.8,tụ cầu không xác định là nguyên nhân gây bệnh phân loại ở chương khác
B96,tác nhân vi khuẩn xác định khác là nguyên nhân gây bệnh phân loại ở chương khác
B96.0,mycoplasma pneumoniae ( m . pneumoniae ) là nguyên nhân gây bệnh phân loại ở chương khác
B96.1,klebsiella pneumoniae ( k . pneumoniae ) là nguyên nhân gây bệnh phân loại ở chương khác
B96.2,escherichia coli ( e . coli ) là nguyên nhân gây bệnh phân loại ở chương khác
B96.3,haemophilus influenzae ( h . influenzae ) là nguyên nhân gây bệnh phân loại ở chương khác
B96.4,proteus ( mirabilis ) ( morganii ) là nguyên nhân gây bệnh phân loại ở chương khác
B96.5,pseudomonas ( aeruginosa ) là nguyên nhân gây bệnh phân loại ở chương khác
B92,di chứng của bệnh phong
B94,di chứng của bệnh nhiễm trùng và ký sinh trùng khác và không xác định
B95,"liên cầu và tụ cầu là nguyên nhân gây bệnh , được phân loại ở các chương khác"
B95.0,"liên cầu , nhóm a , là nguyên nhân gây bệnh phân loại ở chương khác"
B95.1,"liên cầu , nhóm b , là nguyên nhân gây bệnh phân loại ở chương khác"
B95.2,"liên cầu , nhóm d , là nguyên nhân gây bệnh phân loại ở chương khác"
B95.3,phế cầu là nguyên nhân gây bệnh phân loại ở chương khác
B95.4,liên cầu khác là nguyên nhân gây bệnh phân loại ở chương khác
B95.5,liên cầu không xác định là nguyên nhân gây bệnh phân loại ở chương khác
B95.6,tụ cầu vàng là nguyên nhân gây bệnh phân loại ở chương khác
B95.7,tụ cầu khác là nguyên nhân gây bệnh phân loại ở chương khác
B97.3,retrovirus là nguyên nhân gây bệnh phân loại ở chương khác
B97.4,virus hợp bào đường hô hấp là nguyên nhân gây bệnh phân loại ở chương khác
B97.5,reovirus là nguyên nhân gây bệnh phân loại ở chương khác
B97.6,parvovirus là nguyên nhân gây bệnh phân loại ở chương khác
B97.7,papillomavirus là nguyên nhân gây bệnh phân loại ở chương khác
B97.8,các virus gây bệnh phân loại ở chương khác
B98,tác nhân nhiễm trùng xác định khác gây các bệnh phân loại ở chương khác
B98.0,helicobacter pylori ( h . pylori ) gây bệnh phân loại ở chương khác
B98.1,vibrio vulnificus là nguyên nhân gây bệnh phân loại ở chương khác
B90.8,di chứng do lao cơ quan khác
B90.9,di chứng do lao hô hấp và bệnh lao không xác định
B91,di chứng của bệnh bại liệt
C03.0,u ác của lợi hàm trên
C03.1,u ác của lợi hàm dưới
C02.0,u ác mặt lưng của lưỡi
C02.1,u ác bờ của lưỡi
C02.2,u ác mặt bụng của lưỡi
C02.3,"u ác hai phần ba trước của lưỡi , phần không xác định"
C00.6,u ác của mép môi
C00.8,u ác với tổn thương chồng lấn của môi
C00.9,"u ác của môi , không xác định"
C01,u ác của đáy lưỡi
C02,u ác của phần khác và không xác định của lưỡi
C00.0,"u ác của môi , phần ngoài môi trên"
C00.1,"u ác của môi , phần ngoài môi dưới"
C00.2,"u ác của môi , phần ngoài môi , không xác định trên hay dưới"
C00.3,"u ác của môi , môi trên , mặt trong"
